ID,"Sektor ID",Name,Kecamatan,Deskripsi,Image,Status,"Tanggal Awal","Tanggal Akhir"
1,6,"Quasi dolorum aliquam doloribus dolor.",Kediri,"Et quia qui sint nesciunt suscipit quis. Veritatis distinctio cupiditate hic non. Aut deleniti ullam cumque aut minima soluta rerum. Delectus labore omnis ea sunt dignissimos consequatur.",example.jpg,Terbit,"2024-04-19 01:01:45",,"2024-04-21 22:43:03"
2,3,"Omnis voluptates sed nisi.",Salatiga,"Et nihil in quia ducimus. Quo architecto unde et numquam numquam qui tenetur. Non quis ut sit libero. Atque autem error unde nobis eligendi ipsum.",example.jpg,Terbit,"2024-02-22 15:00:31",,"2024-08-29 02:26:21"
3,3,"Necessitatibus voluptas id numquam.",Serang,"Iusto corrupti eligendi incidunt ut. Nihil blanditiis doloremque voluptas iste qui. Iusto atque est officiis rerum corporis.",example.jpg,Terbit,"2024-04-19 20:15:35",,"2024-07-20 01:46:37"
4,4,"Ratione esse aut iusto.",Semarang,"Ab recusandae unde unde molestias vero sit numquam non. Et atque voluptatem non dignissimos est sit. Non unde est asperiores repudiandae delectus illum aut. Consequatur voluptas consequatur facere.",example.jpg,Terbit,"2024-10-28 05:46:58","2025-01-23 12:39:01","2024-04-19 16:01:43"
5,7,"Ut ducimus tempora nostrum similique.","Administrasi Jakarta Barat","Omnis repudiandae minima aut ut magnam labore corrupti. Dolor quia et adipisci cum aliquam nihil repellendus vel. Et earum quisquam impedit aut corporis nihil. Ullam optio aut dolore sint quae et blanditiis non.",example.jpg,Draf,"2024-05-30 00:46:36","2025-03-12 14:58:00",
6,5,"Dignissimos minima aspernatur non alias.","Administrasi Jakarta Selatan","Vitae reprehenderit ex mollitia quas qui ut deleniti. Occaecati saepe eos exercitationem distinctio laboriosam et natus placeat. Soluta laborum quasi aut molestiae molestias ut. Fugiat unde et in ut.",example.jpg,Terbit,"2024-06-29 00:37:24",,"2023-12-10 08:39:59"
7,3,"Vel sunt et ut ut.",Padang,"Dolores pariatur voluptates necessitatibus dolor. Odio voluptas dolores mollitia debitis exercitationem. Sed ut vel aliquid explicabo consectetur quia animi. Autem officiis dolor voluptatibus eaque optio voluptas.",example.jpg,Terbit,"2024-01-17 11:46:18","2024-11-03 11:52:36","2024-08-18 16:56:46"
8,1,"Accusamus molestiae enim ducimus.","Bandar Lampung","Nihil et quos velit asperiores sit. Sit iusto consequatur ratione repellat ullam voluptatem deserunt. Provident eos quam necessitatibus doloribus quaerat cum consectetur corrupti. Suscipit quasi sed mollitia odio odit.",example.jpg,Terbit,"2024-01-20 16:25:32",,"2024-09-15 12:46:47"
9,3,"Magni qui ut eius praesentium.",Dumai,"Autem placeat ut reprehenderit ea magni. Aliquam distinctio est ad quo et expedita. Sed vel voluptatem impedit deleniti id.",example.jpg,Draf,"2024-10-25 00:55:22","2025-02-10 23:43:36",
10,1,"Est sit veniam id laboriosam praesentium quia.",Banjarbaru,"Quis voluptatem iste et magnam velit ea. Illo incidunt sed atque ipsa nemo. Quaerat distinctio error ut consectetur culpa cupiditate. Quia voluptatem est aut voluptatibus enim minima consectetur.",example.jpg,Terbit,"2023-11-26 09:50:18",,"2024-07-17 23:04:15"
11,6,"Veritatis ut ratione et accusantium.",Batu,"Vel illum quis rerum veritatis expedita. Libero magnam ut ad hic quod velit. Consectetur corrupti odio nostrum nesciunt. Blanditiis soluta consequuntur placeat. Ut neque sed earum voluptate vitae quibusdam.",example.jpg,Draf,"2024-08-26 13:09:24",,
12,3,"Recusandae accusantium dolore mollitia.",Banjarbaru,"Et illum possimus est enim consequatur ipsa facere. Quae doloribus similique ut ab doloremque. Aut occaecati maiores est explicabo blanditiis error. Commodi et animi nesciunt optio.",example.jpg,Terbit,"2024-03-05 03:46:23",,"2024-10-10 17:47:41"
13,2,"Quos et est voluptas dolorum doloribus.",Padang,"Facilis debitis inventore velit reiciendis. Ipsum neque voluptas enim sapiente sit et magni. Impedit consequatur alias quisquam et aut ipsa atque. Sint expedita officiis perferendis vel aut.",example.jpg,Terbit,"2024-01-14 08:15:12","2025-03-07 08:20:19","2024-09-29 12:08:54"
14,6,"Vel illo repudiandae est id voluptas laboriosam.",Metro,"Cupiditate velit provident rerum nesciunt dicta et. Debitis a excepturi fuga quasi perspiciatis. Dolorem soluta pariatur rerum inventore eaque necessitatibus exercitationem dolorum.",example.jpg,Terbit,"2024-02-28 13:33:42",,"2024-05-31 03:22:32"
15,3,"Ut autem quo ab qui.",Pasuruan,"Ipsam laborum eum autem nobis dolor. Ab labore nesciunt officia molestias sit consequatur quos. Necessitatibus et et qui. Adipisci sit soluta odio enim at debitis perspiciatis. Esse soluta aut sed ut sit.",example.jpg,Terbit,"2024-05-28 12:39:48","2025-06-05 14:16:39","2024-06-18 03:58:31"
16,4,"Consequatur culpa dolorum vero ipsa.",Pekalongan,"Veniam voluptates consequatur autem sed saepe cum qui. Harum commodi sapiente tempore quos.",example.jpg,Draf,"2024-02-01 01:05:07","2024-11-24 21:32:35",
17,5,"Facere earum consequatur exercitationem.",Pariaman,"Hic velit voluptates laudantium praesentium molestias. Veritatis iusto ipsum dolorem minima. Et dolor exercitationem blanditiis.",example.jpg,Terbit,"2024-08-17 04:05:37","2025-03-11 15:51:42","2024-01-15 09:41:39"
18,2,"Amet ut culpa labore eos omnis magnam excepturi.",Semarang,"Ab dolorem laudantium dolore molestias aut dignissimos sint. Facilis distinctio dolores qui reiciendis et blanditiis nam. Nulla eum ut ab in. Et qui velit dolores dolorem nesciunt.",example.jpg,Terbit,"2024-04-17 02:07:30","2025-07-27 00:02:37","2024-02-20 14:51:03"
19,3,"Consequatur impedit repellat nihil.","Pangkal Pinang","Dolores quasi dolorum maiores molestias. Eius autem ipsam consequatur. Atque minus quia quae temporibus saepe. Voluptatum alias ex sit est optio.",example.jpg,Draf,"2024-07-11 10:39:34","2025-03-08 20:15:19",
20,6,"Est inventore excepturi nobis facilis velit.",Bogor,"Omnis accusamus voluptatem sunt totam esse praesentium. Rerum dolor laborum sed omnis. Velit earum eveniet provident vel eos error.",example.jpg,Terbit,"2024-01-21 04:40:52","2025-02-12 22:50:56","2023-12-11 15:01:07"
21,3,"Perspiciatis neque sequi nobis quisquam.",Palopo,"Earum quia deleniti optio aut quidem accusantium vel. Architecto culpa eos voluptatem quidem est est hic. Nihil repellat debitis atque sed ad assumenda.",example.jpg,Terbit,"2023-11-14 23:36:11",,"2024-06-21 18:32:46"
22,6,"Nemo voluptates nam repudiandae quia esse.",Sabang,"Sed ut quod iste eligendi. Vel porro rerum itaque dolorem explicabo quaerat. Dolores voluptatem blanditiis possimus et. Deleniti soluta dolores autem debitis non.",example.jpg,Draf,"2023-11-28 13:02:47","2025-04-02 17:06:37",
23,3,"Est similique molestiae qui ratione id.",Kediri,"Odio delectus ea repellat voluptas et dolore. Sed et eaque neque omnis. Animi et sint ratione aspernatur sint. Sunt et numquam assumenda illum non aliquid.",example.jpg,Terbit,"2023-12-08 15:43:33",,"2024-04-17 09:46:52"
24,2,"Possimus placeat eos ut sit maxime.","Administrasi Jakarta Utara","Perferendis quisquam natus officia porro. Ea dolorem consequatur nam quae ea eius. Ex animi nihil est. Soluta minima architecto consequuntur dolorem.",example.jpg,Draf,"2024-08-13 00:54:39","2025-01-25 04:05:44",
25,4,"Similique est deserunt consequatur earum.",Kediri,"Et assumenda ipsum architecto maxime debitis distinctio. Voluptas et nostrum doloremque nam perferendis iste. Voluptas aliquam eveniet qui mollitia eligendi deserunt ea ex. Vel sequi repudiandae aut et.",example.jpg,Draf,"2024-05-01 04:00:28",,
26,1,"Eveniet sed tempora est delectus.",Salatiga,"Facilis delectus sit veniam nemo quas facilis. Aut tempore quo error aliquam nisi repellat odio. Aut nobis cupiditate corporis rerum quo animi. Ut non consequatur quas temporibus ut laborum quasi.",example.jpg,Terbit,"2024-01-09 20:52:57","2025-02-28 04:09:56","2024-10-07 09:04:33"
27,5,"Iste sint et aut tenetur totam.",Tual,"Autem quia autem beatae natus quis similique at. Dolor eos doloribus quibusdam quo. Dolorem explicabo et quo alias. Est dolores pariatur sint sit qui placeat.",example.jpg,Terbit,"2024-10-04 13:34:02","2024-11-04 11:35:56","2024-01-18 08:24:54"
28,3,"Debitis libero quia unde blanditiis similique.",Payakumbuh,"Id provident enim necessitatibus voluptas consectetur. Maxime mollitia recusandae aut adipisci facere odio.",example.jpg,Terbit,"2024-09-24 11:03:11",,"2024-09-19 17:04:53"
29,2,"Iusto esse sit temporibus et ut qui consequatur.",Bengkulu,"Veritatis enim in eveniet eveniet sint nemo. Quia tempora voluptatem a quis. Quasi sunt qui maiores omnis esse laborum laudantium. Mollitia sapiente facere tempora et et.",example.jpg,Terbit,"2024-05-30 14:24:43",,"2024-08-01 08:32:11"
30,6,"Hic itaque atque quis non perferendis odio non.",Probolinggo,"Reprehenderit odit qui in quia aut voluptate tempora. Sequi magnam laboriosam cumque officia sed facere ex. Veniam dignissimos minima deserunt incidunt.",example.jpg,Terbit,"2024-06-07 19:27:11","2025-10-01 14:09:39","2023-12-15 01:16:16"
31,3,"Ipsum qui amet eligendi consectetur cupiditate.",Metro,"Impedit porro dolore perspiciatis dolorem. Quia debitis qui et quia. Consequuntur cumque similique et sint. Asperiores voluptas quae cupiditate quia ratione voluptatem. Porro perspiciatis dolore corrupti perferendis aut.",example.jpg,Draf,"2024-04-16 02:41:15",,
32,2,"Sit incidunt doloribus ullam dolorum ut et modi.",Denpasar,"Molestias modi at aut saepe est ipsa. Non velit excepturi repellat occaecati. Ratione nobis optio quaerat voluptatibus. Assumenda in accusantium nihil et corporis quisquam porro.",example.jpg,Terbit,"2024-09-12 23:15:00",,"2024-03-22 15:47:58"
33,1,"Aut possimus amet molestias asperiores quibusdam.","Administrasi Jakarta Pusat","Id sit rerum nihil deleniti quis. Quod repudiandae facere quas id. Expedita nihil quia quibusdam harum occaecati ratione.",example.jpg,Terbit,"2023-11-27 04:52:05",,"2023-12-02 14:17:01"
34,5,"Laudantium id sed consequatur omnis qui.",Tomohon,"Autem fugit ut ut minus quo. Qui eligendi saepe beatae sed.",example.jpg,Terbit,"2024-10-16 18:35:12","2025-03-06 22:49:38","2024-04-24 00:56:51"
35,6,"Sed vitae et voluptas possimus sed.",Lhokseumawe,"Fugit non non porro sequi eius. Natus repellendus excepturi mollitia molestiae sed. Ea alias ut quo. Ullam est minima itaque reiciendis quod repellat est.",example.jpg,Terbit,"2024-08-01 07:19:31",,"2024-09-27 01:51:11"
36,7,"Ullam nostrum vero quia eaque ut magni.",Gorontalo,"Itaque odio dolorem fugiat unde numquam voluptas facilis. Fuga sit non et eos. Aliquid autem vel qui corrupti quaerat facilis eius. Ipsam totam commodi sed et maxime enim et.",example.jpg,Draf,"2023-11-20 06:39:52","2024-12-14 21:47:29",
37,3,"Dolore ducimus quis aspernatur nostrum.","Palangka Raya","Quia magnam inventore quasi unde consequatur saepe. Nihil recusandae consequatur officia ipsa est cum doloremque libero. Qui voluptatem tempore id autem aliquid facere sit.",example.jpg,Draf,"2024-07-28 19:51:27",,
